FL478 ssr 1,FL478 ssr 2,FL478 ssr 3,IR29 ssr 1,IR29 ssr 2,IR29 ssr 3
5.1,8.3,4.1,62.4,7.9,60
2293.1,2366.3,2317.1,2664.3,2626.9,3006.1
52.7,57.7,54.2,31.7,53.6,32
41.9,40.9,33.1,10.4,24.4,7
19.7,9.5,15.7,28,17.6,35.1
94.6,92.4,103.1,187.7,164.9,213.7
1047.3,1176.9,1175.7,2555.4,1919.6,2520
56.9,84,43.8,380.3,238.1,573.8
94.7,140.2,58.7,779.3,477.4,905.8
129.9,132.6,112.4,253.6,174.1,257.6
140.2,144.1,158.3,419.4,213.7,371.7
39.3,55.1,51.4,256,173.7,422.5
92.7,72.6,87,168.9,140.1,167.6
51.1,69.5,94.1,197.1,89.1,176.1
843.4,1192.1,1039.9,1885.6,1104.6,2056.5
313,283,491.2,671.9,334.1,772.6
313.3,367.2,370.7,526.8,401.4,587.3
162.7,91.6,133.6,224.9,167.1,277.7
486.2,516.8,679.1,1572.4,961,1848
